RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=008c pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=008b pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=008a pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0089 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0088 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0087 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0086 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0085 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0084 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0083 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0082 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0081 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0080 pc=8fa6 value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0300 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0301 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0302 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0303 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0304 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0305 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0306 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0307 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0308 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0309 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=030a pc=8faf value=00 class=retained-xram-approx unknown=0
