Warning: -video none doesn't make much sense without -seconds_to_run
[:xdata] XEV seq=92 op=W addr=00aa pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=93 op=W addr=00a9 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=94 op=W addr=00a8 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=95 op=W addr=00a7 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=96 op=W addr=00a6 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=97 op=W addr=00a5 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=98 op=W addr=00a4 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=99 op=W addr=00a3 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=100 op=W addr=00a2 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=101 op=W addr=00a1 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=102 op=W addr=00a0 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=103 op=W addr=009f pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=104 op=W addr=009e pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=105 op=W addr=009d pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=106 op=W addr=009c pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=107 op=W addr=009b pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=108 op=W addr=009a pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=109 op=W addr=0099 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=110 op=W addr=0098 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=111 op=W addr=0097 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=112 op=W addr=0096 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=113 op=W addr=0095 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=114 op=W addr=0094 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=115 op=W addr=0093 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=116 op=W addr=0092 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=117 op=W addr=0091 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=118 op=W addr=0090 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=119 op=W addr=008f pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=120 op=W addr=008e pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=121 op=W addr=008d pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=122 op=W addr=008c pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=123 op=W addr=008b pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=124 op=W addr=008a pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=125 op=W addr=0089 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=126 op=W addr=0088 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=127 op=W addr=0087 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=128 op=W addr=0086 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=129 op=W addr=0085 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=130 op=W addr=0084 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=131 op=W addr=0083 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=132 op=W addr=0082 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=133 op=W addr=0081 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=134 op=W addr=0080 pc=8fa6 value=00 class=storage taint=0
[:xdata] XEV seq=135 op=W addr=0300 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=136 op=W addr=0301 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=137 op=W addr=0302 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=138 op=W addr=0303 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=139 op=W addr=0304 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=140 op=W addr=0305 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=141 op=W addr=0306 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=142 op=W addr=0307 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=143 op=W addr=0308 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=144 op=W addr=0309 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=145 op=W addr=030a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=146 op=W addr=030b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=147 op=W addr=030c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=148 op=W addr=030d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=149 op=W addr=030e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=150 op=W addr=030f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=151 op=W addr=0310 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=152 op=W addr=0311 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=153 op=W addr=0312 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=154 op=W addr=0313 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=155 op=W addr=0314 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=156 op=W addr=0315 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=157 op=W addr=0316 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=158 op=W addr=0317 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=159 op=W addr=0318 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=160 op=W addr=0319 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=161 op=W addr=031a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=162 op=W addr=031b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=163 op=W addr=031c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=164 op=W addr=031d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=165 op=W addr=031e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=166 op=W addr=031f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=167 op=W addr=0320 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=168 op=W addr=0321 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=169 op=W addr=0322 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=170 op=W addr=0323 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=171 op=W addr=0324 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=172 op=W addr=0325 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=173 op=W addr=0326 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=174 op=W addr=0327 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=175 op=W addr=0328 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=176 op=W addr=0329 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=177 op=W addr=032a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=178 op=W addr=032b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=179 op=W addr=032c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=180 op=W addr=032d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=181 op=W addr=032e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=182 op=W addr=032f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=183 op=W addr=0330 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=184 op=W addr=0331 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=185 op=W addr=0332 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=186 op=W addr=0333 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=187 op=W addr=0334 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=188 op=W addr=0335 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=189 op=W addr=0336 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=190 op=W addr=0337 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=191 op=W addr=0338 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=192 op=W addr=0339 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=193 op=W addr=033a pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=194 op=W addr=033b pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=195 op=W addr=033c pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=196 op=W addr=033d pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=197 op=W addr=033e pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=198 op=W addr=033f pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=199 op=W addr=0340 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=200 op=W addr=0341 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=201 op=W addr=0342 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=202 op=W addr=0343 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=203 op=W addr=0344 pc=8faf value=00 class=storage taint=0
[:xdata] XEV seq=204 op=W addr=0345 pc=8faf value=00 class=storage taint=0
